Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo,Dur_diff,Ons_diff,RMS
0.0,0.9979166666666667,1.0,83.0,49.0,0.9520181405895691,0.9268631897203325,4/4,4,4,1,G,major,64.599609375,0.9520181405895691,0.2615850793036658,0.025310329523247424
1.0,0.9979166666666667,1.0,79.0,49.0,1.8808163265306121,0.5561179138322,4/4,4,4,1,G,major,107.66601562499991,1.2141493265306122,-0.10916019658446674,0.035626516397413543
2.0,0.9979166666666667,1.0,83.0,49.0,2.4380952380952383,0.9732063492063491,4/4,4,4,1,G,major,61.523437500000014,1.1047612380952383,0.30792823878968234,0.032645005159160884
3.0,0.9979166666666667,1.0,79.0,49.0,3.4133333333333336,0.6488042328042325,4/4,4,4,1,G,major,92.28515625000004,1.4133323333333334,-0.01647387761243424,0.02657425630677918
4.0,0.9979166666666667,1.0,81.0,49.0,4.063492063492063,0.7646621315192752,4/4,4,4,1,G,major,78.30255681818173,1.3968240634920632,0.09938402110260847,0.018307829430622806
5.0,0.9979166666666667,1.0,76.0,49.0,4.829750566893424,0.6719758125472404,4/4,4,4,1,G,major,89.10290948275872,1.4964155668934245,0.006697702130573635,0.019467984366181017
6.0,0.9979166666666667,1.0,81.0,49.0,5.50312925170068,0.7183189720332581,4/4,4,4,1,G,major,83.35433467741932,1.50312725170068,0.053040861616591384,0.017701406297996134
7.0,0.9979166666666667,1.0,76.0,49.0,6.222947845804988,0.8341768707482993,4/4,4,4,1,G,major,71.77734375,1.5562788458049885,0.16889876033163254,0.025443789346487364
8.0,0.9979166666666667,1.0,78.0,49.0,7.058866213151927,0.6719758125472413,4/4,4,4,1,G,major,89.1029094827586,1.7255302131519272,0.006697702130574523,0.04630338565012283
9.0,0.9979166666666667,1.0,74.0,49.0,7.732244897959184,0.7414905517762661,4/4,4,4,1,G,major,80.74951171875,1.7322418979591836,0.07621244135959937,0.025737554537021312
10.0,1.9979166666666666,1.0,78.0,49.0,8.475283446712018,1.391746031746031,4/4,4,4,1,G,major,86.13281250000004,1.8086134467120178,0.05980092132936443,0.03794945273860883
11.0,0.9979166666666667,1.0,67.0,49.0,9.1718820861678,0.6256326530612246,4/4,4,4,1,G,major,95.70312499999999,1.8385450861677999,-0.039645457355442115,0.038784046207204735
12.0,0.9979166666666667,1.0,76.0,49.0,9.798820861678005,0.8805200302343184,4/4,4,4,1,G,major,67.9995888157893,1.798816861678004,0.21524191981765162,0.028481737864832168
13.0,0.9979166666666667,1.0,72.0,49.0,10.681179138321996,0.6488042328042316,4/4,4,4,1,G,major,92.28515625000017,2.0145081383219967,-0.01647387761243513,0.030222499490122182
14.0,1.9979166666666666,1.0,76.0,49.0,11.331337868480725,1.7628783068783067,4/4,4,4,1,G,major,67.99958881578948,1.9979998684807256,0.4309331964616401,0.02071906474190577
15.0,0.9979166666666667,1.0,62.0,49.0,12.213696145124716,0.6719758125472404,4/4,4,4,1,G,major,89.10290948275872,2.2136911451247165,0.006697702130573635,0.014217836328430574
16.0,0.4979166666666667,1.0,76.0,49.0,12.887074829931972,0.3930944822373401,4/4,4,4,1,G,major,75.99954044117634,2.220402829931972,0.06114987182067344,0.0346632826064062
16.5,0.4979166666666667,1.0,72.0,54.0,13.281814058956916,0.5087105064247918,4/4,4,4,1,G,major,58.72691761363641,2.281808558956916,0.1767658960081251,0.04445323616171476
17.0,0.4979166666666667,1.0,67.0,60.0,13.79265306122449,0.32372486772486714,4/4,4,4,1,G,major,92.28515625000017,2.4593140612244895,-0.008219742691799536,0.03688671730518178
17.5,0.4979166666666667,1.0,62.0,65.0,14.117732426303855,0.32372486772486714,4/4,4,4,1,G,major,92.28515625000017,2.451059926303854,-0.008219742691799536,0.041349692813507845
18.0,0.4979166666666667,1.0,67.0,71.0,14.44281179138322,0.34684807256235994,4/4,4,4,1,G,major,86.13281249999959,2.4428057913832184,0.01490346214569327,0.03919907957616489
18.5,0.4979166666666667,1.0,62.0,76.0,14.79111111111111,0.32372486772486886,4/4,4,4,1,G,major,92.28515624999969,2.457771611111111,-0.008219742691797816,0.04765477711990741
19.0,0.4979166666666667,1.0,57.0,82.0,15.116190476190477,0.32372486772486714,4/4,4,4,1,G,major,92.28515625000017,2.4495174761904774,-0.008219742691799536,0.037657075337833634
19.5,0.4979166666666667,1.0,58.0,88.0,15.441269841269841,0.3468480725623581,4/4,4,4,1,G,major,86.13281250000004,2.441263341269842,0.014903462145691437,0.023997419365531503
20.0,3.997916666666667,1.0,52.0,88.0,15.789569160997733,1.670965986394548,4/4,4,4,1,G,major,143.55468750000085,2.456229160997733,0.005166042644547897,0.036903270529520756
20.5,0.4979166666666667,1.0,71.0,88.0,15.998548752834466,0.2081088435374173,4/4,4,4,1,G,major,143.5546874999984,2.4568752528344664,0.000643399787417287,0.036879054777817236
21.0,0.9979166666666667,1.0,71.0,88.0,16.207528344671204,0.4170884353741543,4/4,4,4,1,G,major,143.5546874999984,2.4575213446712034,0.0012894916241543153,0.03447551865793873
21.0,0.4979166666666667,1.0,71.0,88.0,16.207528344671204,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,2.4575213446712034,0.0006433997874137343,0.03324460859347406
21.5,0.4979166666666667,1.0,71.0,88.0,16.416507936507937,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,2.458167436507937,0.0006433997874137343,0.035638787236449226
22.0,0.9979166666666667,1.0,70.0,88.0,16.62548752834467,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,2.4588135283446704,0.0012894916241472099,0.04446283775830977
22.0,0.4979166666666667,1.0,70.0,88.0,16.62548752834467,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,2.4588135283446704,0.0006433997874137343,0.047154056802434674
22.5,0.4979166666666667,1.0,71.0,88.0,16.834467120181404,0.2081088435374173,4/4,4,4,1,G,major,143.5546874999984,2.459459620181404,0.000643399787417287,0.04160812686887331
23.0,0.9979166666666667,1.0,71.0,88.0,17.04344671201814,0.4170884353741543,4/4,4,4,1,G,major,143.5546874999984,2.460105712018141,0.0012894916241543153,0.032103138102128746
23.0,0.4979166666666667,1.0,71.0,88.0,17.04344671201814,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996,2.460105712018141,0.0006433997874155384,0.026273795747027172
23.5,0.4979166666666667,1.0,71.0,88.0,17.252426303854875,0.18498563869992452,4/4,4,4,1,G,major,161.49902343749991,2.460751803854876,-0.02247980505007549,0.03627059683022117
24.0,3.997916666666667,1.0,52.0,88.0,17.438185941043084,1.670965986394548,4/4,4,4,1,G,major,143.55468750000085,2.438177941043085,0.005166042644547897,0.047941449610150955
24.5,0.4979166666666667,1.0,71.0,88.0,17.647165532879818,0.2081088435374173,4/4,4,4,1,G,major,143.5546874999984,2.4388240328798183,0.000643399787417287,0.03429324469499585
25.0,0.9979166666666667,1.0,70.0,88.0,17.856145124716555,0.4170884353741543,4/4,4,4,1,G,major,143.5546874999984,2.4394701247165553,0.0012894916241543153,0.04899105812497116
25.0,0.4979166666666667,1.0,70.0,88.0,17.856145124716555,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085,2.4394701247165553,0.0006433997874137343,0.057112273657639955
